ID	pore_intensity	pore_sigma	mac1_X	mac1_Y	mac1_threshold	mac1_sigma	mac1_median	mac1_eNoise	mac1_CS_sigma	mac1_CS_height	mac1_CS_length	mac1_CS_intensity	mac2_X	mac2_Y	mac2_sigma	mac2_threshold	mac2_rWalk	bg_deposition	unit_D_0	pttn1_deposition	unit_D_1	pttn2_deposition	unit_D_2	copy1_deposition	unit_D_3	copy2_deposition	unit_D_N	egg_exposure	egg_smudge	unit_P_0	bg_pigment	unit_P_1	pttn1_pigment	unit_P_2	pttn2_pigment	unit_P_N	Parent1	Parent2
Gen0_Mut0_ID10	0.0337	0.1435	0.7759	0.5084	0.6425	0.4078	0.6978	0.4078	0.3027	0.5506	0.0671	0.2305	0.3054	0.3846	0.9329	0.6425	0.1344	0.2007	0.2007	0.2007	0.2007	0.2007	0.2007	0.3054	0.2007	0.3846	0.2007	0.2007	0.2007	0.2007	0.3846	0.2007	0.9329	0.2007	0.1344	0.2007	none	none
Gen0_Mut0_ID11	0.6013	0.2688	0.9589	0.7265	0.3409	0.4773	0.7943	0.4773	0.5684	0.3054	0.5707	0.1156	0.2186	0.7624	0.8995	0.3409	0.7565	0.3798	0.3798	0.3798	0.3798	0.3798	0.3798	0.2186	0.3798	0.7624	0.3798	0.3798	0.3798	0.3798	0.7624	0.3798	0.8995	0.3798	0.7565	0.3798	none	none
Gen0_Mut0_ID12	0.6038	0.952	0.1613	0.6358	0.724	0.3973	0.5066	0.3973	0.108	0.9629	0.1262	0.6971	0.5014	0.8605	0.8282	0.724	0.0814	0.5138	0.5138	0.5138	0.5138	0.5138	0.5138	0.5014	0.5138	0.8605	0.5138	0.5138	0.5138	0.5138	0.8605	0.5138	0.8282	0.5138	0.0814	0.5138	none	none
Gen0_Mut0_ID13	0.2081	0.1343	0.185	0.5315	0.7026	0.0843	0.9119	0.0843	0.456	0.9157	0.9498	0.7395	0.2852	0.9296	0.9274	0.7026	0.7065	0.7164	0.7164	0.7164	0.7164	0.7164	0.7164	0.2852	0.7164	0.9296	0.7164	0.7164	0.7164	0.7164	0.9296	0.7164	0.9274	0.7164	0.7065	0.7164	none	none
Gen0_Mut0_ID14	0.6939	0.8567	0.8997	0.5066	0.7688	0.8318	0.0138	0.8318	0.9069	0.0067	0.3452	0.6009	0.5912	0.324	0.6304	0.7688	0.5823	0.2388	0.2388	0.2388	0.2388	0.2388	0.2388	0.5912	0.2388	0.324	0.2388	0.2388	0.2388	0.2388	0.324	0.2388	0.6304	0.2388	0.5823	0.2388	none	none
Gen0_Mut0_ID15	0.8114	0.2557	0.5325	0.79	0.8529	0.1288	0.653	0.1288	0.463	0.9828	0.351	0.8819	0.2668	0.3369	0.9522	0.8529	0.7601	0.7686	0.7686	0.7686	0.7686	0.7686	0.7686	0.2668	0.7686	0.3369	0.7686	0.7686	0.7686	0.7686	0.3369	0.7686	0.9522	0.7686	0.7601	0.7686	none	none
Gen0_Mut0_ID16	0.5667	0.1922	0.1257	0.3095	0.2664	0.5969	0.133	0.5969	0.5543	0.8082	0.0641	0.7564	0.4306	0.2156	0.7828	0.2664	0.2628	0.665	0.665	0.665	0.665	0.665	0.665	0.4306	0.665	0.2156	0.665	0.665	0.665	0.665	0.2156	0.665	0.7828	0.665	0.2628	0.665	none	none
Gen0_Mut0_ID17	0.7624	0.0053	0.042	0.9491	0.8756	0.423	0.752	0.423	0.9112	0.7704	0.1585	0.4767	0.8223	0.7836	0.2557	0.8756	0.4709	0.7453	0.7453	0.7453	0.7453	0.7453	0.7453	0.8223	0.7453	0.7836	0.7453	0.7453	0.7453	0.7453	0.7836	0.7453	0.2557	0.7453	0.4709	0.7453	none	none
Gen0_Mut0_ID18	0.0394	0.5747	0.1165	0.6382	0.2769	0.3278	0.5179	0.3278	0.6018	0.4086	0.5709	0.9318	0.6964	0.204	0.6601	0.2769	0.963	0.0852	0.0852	0.0852	0.0852	0.0852	0.0852	0.6964	0.0852	0.204	0.0852	0.0852	0.0852	0.0852	0.204	0.0852	0.6601	0.0852	0.963	0.0852	none	none
Gen0_Mut0_ID19	0.7166	0.5135	0.3851	0.5393	0.0477	0.0928	0.2133	0.0928	0.2483	0.2078	0.9027	0.9023	0.5219	0.2479	0.5064	0.0477	0.263	0.6759	0.6759	0.6759	0.6759	0.6759	0.6759	0.5219	0.6759	0.2479	0.6759	0.6759	0.6759	0.6759	0.2479	0.6759	0.5064	0.6759	0.263	0.6759	none	none
Gen0_Mut0_ID20	0.9153	0.5684	0.8429	0.8158	0.4337	0.847	0.9453	0.847	0.4241	0.8671	0.5735	0.7947	0.9185	0.5577	0.4879	0.4337	0.2751	0.5224	0.5224	0.5224	0.5224	0.5224	0.5224	0.9185	0.5224	0.5577	0.5224	0.5224	0.5224	0.5224	0.5577	0.5224	0.4879	0.5224	0.2751	0.5224	none	none
Gen0_Mut0_ID21	0.5802	0.0324	0.9786	0.6091	0.9529	0.7727	0.7795	0.7727	0.0271	0.1802	0.9856	0.0171	0.0156	0.7167	0.2243	0.9529	0.5066	0.3896	0.3896	0.3896	0.3896	0.3896	0.3896	0.0156	0.3896	0.7167	0.3896	0.3896	0.3896	0.3896	0.7167	0.3896	0.2243	0.3896	0.5066	0.3896	none	none
Gen0_Mut0_ID22	0.753	0.6288	0.0722	0.7349	0.1959	0.854	0.8594	0.854	0.6692	0.8853	0.3826	0.0821	0.2419	0.6442	0.3135	0.1959	0.3514	0.0023	0.0023	0.0023	0.0023	0.0023	0.0023	0.2419	0.0023	0.6442	0.0023	0.0023	0.0023	0.0023	0.6442	0.0023	0.3135	0.0023	0.3514	0.0023	none	none
Gen0_Mut0_ID23	0.0465	0.3803	0.528	0.7851	0.5965	0.3256	0.3017	0.3256	0.9662	0.9887	0.1816	0.5203	0.1111	0.6334	0.7446	0.5965	0.1465	0.9089	0.9089	0.9089	0.9089	0.9089	0.9089	0.1111	0.9089	0.6334	0.9089	0.9089	0.9089	0.9089	0.6334	0.9089	0.7446	0.9089	0.1465	0.9089	none	none
